feature,effect,abs_effect
num__log_abs_amount,0.1042759694045496,0.1042759694045496
num__log_abs_value,0.08906061949767538,0.08906061949767538
cat__ProductCategory_retail,0.07619073570622832,0.07619073570622832
cat__ProductId_ProductId_18,0.07175830400350852,0.07175830400350852
num__Amount,0.05809662961318443,0.05809662961318443
num__abs_amount,0.05597347413041866,0.05597347413041866
num__Value,0.05386030970669859,0.05386030970669859
num__abs_value,0.05277168824403811,0.05277168824403811
num__log_customer_tenure_days,0.03924168613921334,0.03924168613921334
num__customer_tenure_days,0.03262879085033155,0.03262879085033155
num__log_customer_prior_abs_amount_mean,0.02410520253725864,0.02410520253725864
cat__InvestorId_InvestorId_1,0.02151135056221496,0.02151135056221496
num__txn_day,0.018171858635423185,0.018171858635423185
num__customer_prior_txn_count,0.01723569808370899,0.01723569808370899
num__issue_day,0.016835608964868236,0.016835608964868236
num__log_customer_prior_max_abs_amount,0.016722174941859628,0.016722174941859628
num__customer_prior_abs_amount_mean,0.01621212131517298,0.01621212131517298
num__customer_prior_same_channel_count,0.015721475705747157,0.015721475705747157
num__log_customer_prior_abs_value_mean,0.015565171686370963,0.015565171686370963
num__txn_hour,0.015380765289737553,0.015380765289737553
cat__InvestorId_InvestorId_2,0.015292545368029473,0.015292545368029473
num__customer_prior_abs_value_mean,0.015101884758547944,0.015101884758547944
num__log_customer_prior_abs_amount_sum,0.013283695367146806,0.013283695367146806
num__customer_prior_max_abs_amount,0.013166066182798862,0.013166066182798862
num__issue_hour,0.012264636631374209,0.012264636631374209
num__customer_prior_weekend_share,0.012052434460322076,0.012052434460322076
num__txn_month,0.010537251417785923,0.010537251417785923
num__log_customer_days_since_prev_txn,0.009772180259493703,0.009772180259493703
num__log_customer_prior_abs_value_sum,0.009477561967784482,0.009477561967784482
num__customer_prior_abs_value_sum,0.00890170398280866,0.00890170398280866
num__customer_prior_same_product_count,0.008701286922417232,0.008701286922417232
num__customer_prior_abs_amount_sum,0.0083859352834492,0.0083859352834492
cat__ProductCategory_airtime,0.008333949775154578,0.008333949775154578
num__issue_month,0.007283548039297264,0.007283548039297264
num__customer_days_since_prev_txn,0.00715506466412065,0.00715506466412065
num__customer_prior_unique_product_categories,0.00705348370202758,0.00705348370202758
num__txn_weekday,0.005624137132669782,0.005624137132669782
num__issue_to_txn_minutes,0.004909729703137978,0.004909729703137978
num__customer_prior_unique_channels,0.0028295604113516416,0.0028295604113516416
cat__ProductId_ProductId_3,0.002026769829780467,0.002026769829780467
num__txn_is_weekend,0.001217057632653082,0.001217057632653082
cat__ProductId_ProductId_9,0.0011943779537960158,0.0011943779537960158
cat__ProductId_ProductId_1,0.0009939567931805992,0.0009939567931805992
cat__ProductCategory_utility_bill,0.0009454594741239199,0.0009454594741239199
cat__ProductId_ProductId_7,0.0009276783913061146,0.0009276783913061146
cat__ProductCategory_data_bundles,0.000401593907782444,0.000401593907782444
cat__ProductId_ProductId_15,0.00039181667204267646,0.00039181667204267646
cat__ProductCategory_tv,0.00023634624362317742,0.00023634624362317742
cat__ProductId_ProductId_4,0.00010106217692392823,0.00010106217692392823
cat__ProductId_ProductId_13,7.773317095733063e-05,7.773317095733063e-05
cat__ProductId_ProductId_6,2.0329092374747298e-05,2.0329092374747298e-05
cat__ProductId_ProductId_8,1.9527613528639393e-05,1.9527613528639393e-05
cat__ProductId_ProductId_2,5.459986368228067e-18,5.459986368228067e-18
num__amount_to_value_ratio,0.0,0.0
num__amount_value_gap,0.0,0.0
cat__ProductId_ProductId_17,0.0,0.0
cat__ProductId_ProductId_16,0.0,0.0
cat__ProductId_ProductId_5,0.0,0.0
cat__ProductCategory_movies,0.0,0.0
cat__InvestorId_InvestorId_3,0.0,0.0
